ProjectId,ProjectTitleSv,ProjectTitleEn,FundingsSek,ProjectStartDate,ProjectEndDate,CoordinatingOrganisationNameEn,FundingOrganisationNameEn,label,long_label,short_label,CoordinatingOrganisationCountry,TotalFundingsSek,Role,ProjectStartYear,ProjectEndYear
101022686_EU-H2020_Part_004,,DEmonstration of concentrated SOLar power coupled wIth advaNced desAlinaTion system in the gulf regION.,8812500,2021-06-01,2026-09-30,Lund University,European Commission - Horizon 2020,"DEmonstration of concentrated SOLar power coupled wIth advaNced desAlinaTion system in the gulf regION.
101022686_EU-H2020_Part_004","DEmonstration of concentrated SOLar power coupled wIth advaNced desAlinaTion system in the gulf regION.
101022686_EU-H2020_Part_004
Funding:      8 812 500.00  SEK
2021-06-01  -  2026-09-30
Total cash funding:    99 952 148 SEK
In-kind:    99 952 148 SEK","DEmonstration of concentrated SOLar power coupled wIth advaNced desAlinaTion system in the gulf regION.
101022686_EU-H2020_Part_004
[      8 812 500.00  SEK]",SE,138267800.7,participant,2021,2026
949570_EU-H2020_Coor_001,,Tau Pathology in Alzheimer’s disease: Spreading and Resilience,8601925,2021-04-01,2026-11-30,Lund University,European Commission - Horizon 2020,"Tau Pathology in Alzheimer’s disease: Spreading and Resilience
949570_EU-H2020_Coor_001","Tau Pathology in Alzheimer’s disease: Spreading and Resilience
949570_EU-H2020_Coor_001
Funding:      8 601 925.00  SEK
2021-04-01  -  2026-11-30
Total cash funding:    15 000 000 SEK
In-kind:    15 000 000 SEK","Tau Pathology in Alzheimer’s disease: Spreading and Resilience
949570_EU-H2020_Coor_001
[      8 601 925.00  SEK]",SE,1.5e+07,coordinating,2021,2026
964537_EU-H2020_Part_007,,RISK assessment of chemicals integrating HUman centric Next generation Testing strategies promoting the 3Rs,3982100,2021-06-01,2026-05-31,Lund University,European Commission - Horizon 2020,"RISK assessment of chemicals integrating HUman centric Next generation Testing strategies promoting the 3Rs
964537_EU-H2020_Part_007","RISK assessment of chemicals integrating HUman centric Next generation Testing strategies promoting the 3Rs
964537_EU-H2020_Part_007
Funding:      3 982 100.00  SEK
2021-06-01  -  2026-05-31
Total cash funding:   229 277 688 SEK
In-kind:   229 277 688 SEK","RISK assessment of chemicals integrating HUman centric Next generation Testing strategies promoting the 3Rs
964537_EU-H2020_Part_007
[      3 982 100.00  SEK]",SE,231777687.5,participant,2021,2026
101003476_EU-H2020_Part_003,,Safeguarding European wild pollinators,3479337.5,2021-09-01,2026-02-28,Lund University,European Commission - Horizon 2020,"Safeguarding European wild pollinators
101003476_EU-H2020_Part_003","Safeguarding European wild pollinators
101003476_EU-H2020_Part_003
Funding:      3 479 337.50  SEK
2021-09-01  -  2026-02-28
Total cash funding:    53 504 038 SEK
In-kind:    53 504 038 SEK","Safeguarding European wild pollinators
101003476_EU-H2020_Part_003
[      3 479 337.50  SEK]",SE,78504037.5,participant,2021,2026
101034347_EU-H2020_Part_010,,Optimal treatment for patients with solid tumours in Europe through Artificial intelligence,710000,2021-10-01,2026-09-30,Lund University,European Commission - Horizon 2020,"Optimal treatment for patients with solid tumours in Europe through Artificial intelligence
101034347_EU-H2020_Part_010","Optimal treatment for patients with solid tumours in Europe through Artificial intelligence
101034347_EU-H2020_Part_010
Funding:        710 000.00  SEK
2021-10-01  -  2026-09-30
Total cash funding:   104 599 970 SEK
In-kind:   104 599 970 SEK","Optimal treatment for patients with solid tumours in Europe through Artificial intelligence
101034347_EU-H2020_Part_010
[        710 000.00  SEK]",SE,226899660,participant,2021,2026
965241_EU-H2020_Part_010,,European consortium for communicating gene- and cell-based therapy information.,0,2021-02-01,2026-01-31,Lund University,European Commission - Horizon 2020,"European consortium for communicating gene- and cell-based therapy information.
965241_EU-H2020_Part_010","European consortium for communicating gene- and cell-based therapy information.
965241_EU-H2020_Part_010
Funding:              0.00  SEK
2021-02-01  -  2026-01-31
Total cash funding:    19 997 838 SEK
In-kind:    19 997 838 SEK","European consortium for communicating gene- and cell-based therapy information.
965241_EU-H2020_Part_010
[              0.00  SEK]",SE,30494469.9,participant,2021,2026
956770_EU-H2020_Part_002,,Plenoptic Imaging,8459488.8,2021-01-01,2026-01-31,Mid Sweden University,European Commission - Horizon 2020,"Plenoptic Imaging
956770_EU-H2020_Part_002","Plenoptic Imaging
956770_EU-H2020_Part_002
Funding:      8 459 488.80  SEK
2021-01-01  -  2026-01-31
Total cash funding:    39 751 160 SEK
In-kind:    39 751 160 SEK","Plenoptic Imaging
956770_EU-H2020_Part_002
[      8 459 488.80  SEK]",SE,39751160.4,participant,2021,2026
101000395_EU-H2020_Part_021,,Pathways for transitions to sustainability in livestock husbandry and food systems,678000,2021-09-01,2026-08-31,NATURBETESKOTT I SVERIGE,European Commission - Horizon 2020,"Pathways for transitions to sustainability in livestock husbandry and food systems
101000395_EU-H2020_Part_021","Pathways for transitions to sustainability in livestock husbandry and food systems
101000395_EU-H2020_Part_021
Funding:        678 000.00  SEK
2021-09-01  -  2026-08-31
Total cash funding:    89 989 063 SEK
In-kind:    89 989 063 SEK","Pathways for transitions to sustainability in livestock husbandry and food systems
101000395_EU-H2020_Part_021
[        678 000.00  SEK]",SE,90269074.9,participant,2021,2026
965381_EU-H2020_Coor_011,,Management of chronic cardiometabolic disease and treatment discontinuity in adult ADHD patients,3667500,2021-04-01,2026-03-31,Örebro University,European Commission - Horizon 2020,"Management of chronic cardiometabolic disease and treatment discontinuity in adult ADHD patients
965381_EU-H2020_Coor_011","Management of chronic cardiometabolic disease and treatment discontinuity in adult ADHD patients
965381_EU-H2020_Coor_011
Funding:      3 667 500.00  SEK
2021-04-01  -  2026-03-31
Total cash funding:    59 999 860 SEK
In-kind:    59 999 860 SEK","Management of chronic cardiometabolic disease and treatment discontinuity in adult ADHD patients
965381_EU-H2020_Coor_011
[      3 667 500.00  SEK]",SE,68114510,coordinating,2021,2026
101021669_EU-H2020_Part_019,,Fighting Cybercrime – Law Enforcement Practitioners’ Network,2116125,2021-05-01,2026-04-30,POLISMYNDIGHETEN SWEDISH POLICE AUTHORITY,European Commission - Horizon 2020,"Fighting Cybercrime – Law Enforcement Practitioners’ Network
101021669_EU-H2020_Part_019","Fighting Cybercrime – Law Enforcement Practitioners’ Network
101021669_EU-H2020_Part_019
Funding:      2 116 125.00  SEK
2021-05-01  -  2026-04-30
Total cash funding:    34 998 813 SEK
In-kind:    34 998 813 SEK","Fighting Cybercrime – Law Enforcement Practitioners’ Network
101021669_EU-H2020_Part_019
[      2 116 125.00  SEK]",SE,34998812.5,participant,2021,2026
101021853_EU-H2020_Part_029,,iNteracting netwOrk of inTelligence and securIty practitiOners with iNdustry and acadEmia actorS,543000,2021-09-01,2026-08-31,POLISMYNDIGHETEN SWEDISH POLICE AUTHORITY,European Commission - Horizon 2020,"iNteracting netwOrk of inTelligence and securIty practitiOners with iNdustry and acadEmia actorS
101021853_EU-H2020_Part_029","iNteracting netwOrk of inTelligence and securIty practitiOners with iNdustry and acadEmia actorS
101021853_EU-H2020_Part_029
Funding:        543 000.00  SEK
2021-09-01  -  2026-08-31
Total cash funding:    34 718 613 SEK
In-kind:    34 718 613 SEK","iNteracting netwOrk of inTelligence and securIty practitiOners with iNdustry and acadEmia actorS
101021853_EU-H2020_Part_029
[        543 000.00  SEK]",SE,34718612.5,participant,2021,2026
945175_EU-H2020_Part_010,,AN INTERDISCIPLINARY APPROACH FOR THE MANAGEMENT OF THE ELDERLY MULTIMORBID PATIENT WITH BREAST CANCER THERAPY INDUCED CARDIAC TOXICITY,2855875,2021-07-01,2026-06-30,REGION STOCKHOLM,European Commission - Horizon 2020,"AN INTERDISCIPLINARY APPROACH FOR THE MANAGEMENT OF THE ELDERLY MULTIMORBID PATIENT WITH BREAST CANCER THERAPY INDUCED CARDIAC TOXICITY
945175_EU-H2020_Part_010","AN INTERDISCIPLINARY APPROACH FOR THE MANAGEMENT OF THE ELDERLY MULTIMORBID PATIENT WITH BREAST CANCER THERAPY INDUCED CARDIAC TOXICITY
945175_EU-H2020_Part_010
Funding:      2 855 875.00  SEK
2021-07-01  -  2026-06-30
Total cash funding:    59 966 313 SEK
In-kind:    59 966 313 SEK","AN INTERDISCIPLINARY APPROACH FOR THE MANAGEMENT OF THE ELDERLY MULTIMORBID PATIENT WITH BREAST CANCER THERAPY INDUCED CARDIAC TOXICITY
945175_EU-H2020_Part_010
[      2 855 875.00  SEK]",SE,59966312.5,participant,2021,2026
945260_EU-H2020_Part_013,,"Addressing multimorbidity in elderly atrial fibrillation patients through interdisciplinary, tailored, patient-centered care pathways",1482000,2021-04-01,2026-03-31,REGION STOCKHOLM,European Commission - Horizon 2020,"Addressing multimorbidity in elderly atrial fibrillation patients through interdisciplinary, tailored, patient-centered care pathways
945260_EU-H2020_Part_013","Addressing multimorbidity in elderly atrial fibrillation patients through interdisciplinary, tailored, patient-centered care pathways
945260_EU-H2020_Part_013
Funding:      1 482 000.00  SEK
2021-04-01  -  2026-03-31
Total cash funding:    59 997 763 SEK
In-kind:    59 997 763 SEK","Addressing multimorbidity in elderly atrial fibrillation patients through interdisciplinary, tailored, patient-centered care pathways
945260_EU-H2020_Part_013
[      1 482 000.00  SEK]",SE,59997762.5,participant,2021,2026
101034347_EU-H2020_Part_029,,Optimal treatment for patients with solid tumours in Europe through Artificial intelligence,4830000,2021-10-01,2026-09-30,REGION UPPSALA,European Commission - Horizon 2020,"Optimal treatment for patients with solid tumours in Europe through Artificial intelligence
101034347_EU-H2020_Part_029","Optimal treatment for patients with solid tumours in Europe through Artificial intelligence
101034347_EU-H2020_Part_029
Funding:      4 830 000.00  SEK
2021-10-01  -  2026-09-30
Total cash funding:   104 599 970 SEK
In-kind:   104 599 970 SEK","Optimal treatment for patients with solid tumours in Europe through Artificial intelligence
101034347_EU-H2020_Part_029
[      4 830 000.00  SEK]",SE,226899660,participant,2021,2026
899991_EU-H2020_Part_014,,Rituximab in patients with acute myocardial infarction: a phase 2 placebo-controlled randomised clinical trial,3140000,2021-06-01,2026-05-31,REGION UPPSALA,European Commission - Horizon 2020,"Rituximab in patients with acute myocardial infarction: a phase 2 placebo-controlled randomised clinical trial
899991_EU-H2020_Part_014","Rituximab in patients with acute myocardial infarction: a phase 2 placebo-controlled randomised clinical trial
899991_EU-H2020_Part_014
Funding:      3 140 000.00  SEK
2021-06-01  -  2026-05-31
Total cash funding:    65 832 158 SEK
In-kind:    65 832 158 SEK","Rituximab in patients with acute myocardial infarction: a phase 2 placebo-controlled randomised clinical trial
899991_EU-H2020_Part_014
[      3 140 000.00  SEK]",SE,65832165,participant,2021,2026
965277_EU-H2020_Coor_004,,Comprehensive Treatment of Chronic Patients in Rural Areas,47915346,2021-06-01,2026-05-31,REGION VASTERBOTTEN,European Commission - Horizon 2020,"Comprehensive Treatment of Chronic Patients in Rural Areas
965277_EU-H2020_Coor_004","Comprehensive Treatment of Chronic Patients in Rural Areas
965277_EU-H2020_Coor_004
Funding:     47 915 346.00  SEK
2021-06-01  -  2026-05-31
Total cash funding:    59 794 207 SEK
In-kind:    59 794 207 SEK","Comprehensive Treatment of Chronic Patients in Rural Areas
965277_EU-H2020_Coor_004
[     47 915 346.00  SEK]",SE,66438009.6,coordinating,2021,2026
965356_EU-H2020_Part_005,,"InnovaTIve care services, enhanced with technology, to deliver QUick rEsponses for individuals with advanced heart failure and complex care needs through integrated care",2731725,2021-03-01,2026-02-28,REGION VASTERBOTTEN,European Commission - Horizon 2020,"InnovaTIve care services, enhanced with technology, to deliver QUick rEsponses for individuals with advanced heart failure and complex care needs through integrated care
965356_EU-H2020_Part_005","InnovaTIve care services, enhanced with technology, to deliver QUick rEsponses for individuals with advanced heart failure and complex care needs through integrated care
965356_EU-H2020_Part_005
Funding:      2 731 725.00  SEK
2021-03-01  -  2026-02-28
Total cash funding:    56 945 250 SEK
In-kind:    56 945 250 SEK","InnovaTIve care services, enhanced with technology, to deliver QUick rEsponses for individuals with advanced heart failure and complex care needs through integrated care
965356_EU-H2020_Part_005
[      2 731 725.00  SEK]",SE,63272499.4,participant,2021,2026
953193_EU-H2020_Part_026,,"METAclustered, SME oriented European Open Innovation Test Bed for the BUILDING envelope materials industrial sector using a harmonised and upgraded technical framework and living LABS",7081250,2021-01-01,2026-01-31,RISE affiliated,European Commission - Horizon 2020,"METAclustered, SME oriented European Open Innovation Test Bed for the BUILDING envelope materials industrial sector using a harmonised and upgraded technical framework and living LABS
953193_EU-H2020_Part_026","METAclustered, SME oriented European Open Innovation Test Bed for the BUILDING envelope materials industrial sector using a harmonised and upgraded technical framework and living LABS
953193_EU-H2020_Part_026
Funding:      7 081 250.00  SEK
2021-01-01  -  2026-01-31
Total cash funding:   149 445 288 SEK
In-kind:   149 445 288 SEK","METAclustered, SME oriented European Open Innovation Test Bed for the BUILDING envelope materials industrial sector using a harmonised and upgraded technical framework and living LABS
953193_EU-H2020_Part_026
[      7 081 250.00  SEK]",SE,163663154.3,participant,2021,2026
964537_EU-H2020_Part_020,,RISK assessment of chemicals integrating HUman centric Next generation Testing strategies promoting the 3Rs,5033475,2021-06-01,2026-05-31,RISE affiliated,European Commission - Horizon 2020,"RISK assessment of chemicals integrating HUman centric Next generation Testing strategies promoting the 3Rs
964537_EU-H2020_Part_020","RISK assessment of chemicals integrating HUman centric Next generation Testing strategies promoting the 3Rs
964537_EU-H2020_Part_020
Funding:      5 033 475.00  SEK
2021-06-01  -  2026-05-31
Total cash funding:   229 277 688 SEK
In-kind:   229 277 688 SEK","RISK assessment of chemicals integrating HUman centric Next generation Testing strategies promoting the 3Rs
964537_EU-H2020_Part_020
[      5 033 475.00  SEK]",SE,231777687.5,participant,2021,2026
101007219_EU-H2020_Coor_005,,Eco Edge Prime Power,4303352.5,2021-01-01,2026-04-30,RISE affiliated,European Commission - Horizon 2020,"Eco Edge Prime Power
101007219_EU-H2020_Coor_005","Eco Edge Prime Power
101007219_EU-H2020_Coor_005
Funding:      4 303 352.50  SEK
2021-01-01  -  2026-04-30
Total cash funding:    24 997 155 SEK
In-kind:    24 997 155 SEK","Eco Edge Prime Power
101007219_EU-H2020_Coor_005
[      4 303 352.50  SEK]",SE,35764094.5,coordinating,2021,2026
101016665_EU-H2020_Part_034,,One-Stop-Shop Open Access to  Photonics Innovation Support for a Digital Europe,2622992.5,2021-01-01,2026-04-30,RISE affiliated,European Commission - Horizon 2020,"One-Stop-Shop Open Access to  Photonics Innovation Support for a Digital Europe
101016665_EU-H2020_Part_034","One-Stop-Shop Open Access to  Photonics Innovation Support for a Digital Europe
101016665_EU-H2020_Part_034
Funding:      2 622 992.50  SEK
2021-01-01  -  2026-04-30
Total cash funding:   189 999 313 SEK
In-kind:   189 999 313 SEK","One-Stop-Shop Open Access to  Photonics Innovation Support for a Digital Europe
101016665_EU-H2020_Part_034
[      2 622 992.50  SEK]",SE,197287877.6,participant,2021,2026
101036337_EU-H2020_Part_004,,"Mainstreaming Ecological Restoration of freshwater-related ecosystems in a Landscape context: INnovation, upscaling and transformation",5098050,2021-10-01,2026-03-31,SKOGSSTYRELSEN,European Commission - Horizon 2020,"Mainstreaming Ecological Restoration of freshwater-related ecosystems in a Landscape context: INnovation, upscaling and transformation
101036337_EU-H2020_Part_004","Mainstreaming Ecological Restoration of freshwater-related ecosystems in a Landscape context: INnovation, upscaling and transformation
101036337_EU-H2020_Part_004
Funding:      5 098 050.00  SEK
2021-10-01  -  2026-03-31
Total cash funding:   212 459 389 SEK
In-kind:   212 459 389 SEK","Mainstreaming Ecological Restoration of freshwater-related ecosystems in a Landscape context: INnovation, upscaling and transformation
101036337_EU-H2020_Part_004
[      5 098 050.00  SEK]",SE,220971155.7,participant,2021,2026
101035887_EU-H2020_Part_001,,CONCERTED ACTION SUPPORTING THE TRANSPOSITION AND IMPLEMENTATION OF DIRECTIVE 2018/2001/EC ON THE PROMOTION OF THE USE OF ENERGY FROM RENEWABLE SOURCES (RECAST),859450,2021-06-01,2026-01-31,STATENS ENERGIMYNDIGHET,European Commission - Horizon 2020,"CONCERTED ACTION SUPPORTING THE TRANSPOSITION AND IMPLEMENTATION OF DIRECTIVE 2018/2001/EC ON THE PROMOTION OF THE USE OF ENERGY FROM RENEWABLE SOURCES (RECAST)
101035887_EU-H2020_Part_001","CONCERTED ACTION SUPPORTING THE TRANSPOSITION AND IMPLEMENTATION OF DIRECTIVE 2018/2001/EC ON THE PROMOTION OF THE USE OF ENERGY FROM RENEWABLE SOURCES (RECAST)
101035887_EU-H2020_Part_001
Funding:        859 450.00  SEK
2021-06-01  -  2026-01-31
Total cash funding:    49 917 600 SEK
In-kind:    49 917 600 SEK","CONCERTED ACTION SUPPORTING THE TRANSPOSITION AND IMPLEMENTATION OF DIRECTIVE 2018/2001/EC ON THE PROMOTION OF THE USE OF ENERGY FROM RENEWABLE SOURCES (RECAST)
101035887_EU-H2020_Part_001
[        859 450.00  SEK]",SE,49917600.1,participant,2021,2026
101000494_EU-H2020_Part_005,,Data-driven control and prioritisation of non-EU-regulated contagious animal diseases,7887075,2021-07-01,2026-06-30,STATENS VETERINAERMEDICINSKA ANSTALT,European Commission - Horizon 2020,"Data-driven control and prioritisation of non-EU-regulated contagious animal diseases
101000494_EU-H2020_Part_005","Data-driven control and prioritisation of non-EU-regulated contagious animal diseases
101000494_EU-H2020_Part_005
Funding:      7 887 075.00  SEK
2021-07-01  -  2026-06-30
Total cash funding:    99 988 050 SEK
In-kind:    99 988 050 SEK","Data-driven control and prioritisation of non-EU-regulated contagious animal diseases
101000494_EU-H2020_Part_005
[      7 887 075.00  SEK]",SE,99988050,participant,2021,2026
101021496_EU-H2020_Coor_001,,E Pluribus Unum: Principles and Plasticity of Electrical Coupling in a Neuronal Network,22221610,2021-10-01,2026-09-30,Stockholm University,European Commission - Horizon 2020,"E Pluribus Unum: Principles and Plasticity of Electrical Coupling in a Neuronal Network
101021496_EU-H2020_Coor_001","E Pluribus Unum: Principles and Plasticity of Electrical Coupling in a Neuronal Network
101021496_EU-H2020_Coor_001
Funding:     22 221 610.00  SEK
2021-10-01  -  2026-09-30
Total cash funding:    22 221 610 SEK
In-kind:    22 221 610 SEK","E Pluribus Unum: Principles and Plasticity of Electrical Coupling in a Neuronal Network
101021496_EU-H2020_Coor_001
[     22 221 610.00  SEK]",SE,22221610,coordinating,2021,2026
101001608_EU-H2020_Coor_001,,Soil MIcrobial responses to land use and climatic changes in the Light of Evolution,16882500,2021-05-01,2026-04-30,Stockholm University,European Commission - Horizon 2020,"Soil MIcrobial responses to land use and climatic changes in the Light of Evolution
101001608_EU-H2020_Coor_001","Soil MIcrobial responses to land use and climatic changes in the Light of Evolution
101001608_EU-H2020_Coor_001
Funding:     16 882 500.00  SEK
2021-05-01  -  2026-04-30
Total cash funding:    16 882 500 SEK
In-kind:    16 882 500 SEK","Soil MIcrobial responses to land use and climatic changes in the Light of Evolution
101001608_EU-H2020_Coor_001
[     16 882 500.00  SEK]",SE,16882500,coordinating,2021,2026
101036756_EU-H2020_Part_014,,"ZeroPM: Zero pollution of Persistent, Mobile substances",7575000,2021-10-01,2026-09-30,Stockholm University,European Commission - Horizon 2020,"ZeroPM: Zero pollution of Persistent, Mobile substances
101036756_EU-H2020_Part_014","ZeroPM: Zero pollution of Persistent, Mobile substances
101036756_EU-H2020_Part_014
Funding:      7 575 000.00  SEK
2021-10-01  -  2026-09-30
Total cash funding:   116 166 055 SEK
In-kind:   116 166 055 SEK","ZeroPM: Zero pollution of Persistent, Mobile substances
101036756_EU-H2020_Part_014
[      7 575 000.00  SEK]",SE,116166055,participant,2021,2026
949582_EU-H2020_Part_003,,Health Equity and its Economic Determinants (HEED): A Pan-European Microsimulation model for Health impacts of Income and Social Security Policies,332260,2021-01-01,2026-12-31,Stockholm University,European Commission - Horizon 2020,"Health Equity and its Economic Determinants (HEED): A Pan-European Microsimulation model for Health impacts of Income and Social Security Policies
949582_EU-H2020_Part_003","Health Equity and its Economic Determinants (HEED): A Pan-European Microsimulation model for Health impacts of Income and Social Security Policies
949582_EU-H2020_Part_003
Funding:        332 260.00  SEK
2021-01-01  -  2026-12-31
Total cash funding:    14 997 730 SEK
In-kind:    14 997 730 SEK","Health Equity and its Economic Determinants (HEED): A Pan-European Microsimulation model for Health impacts of Income and Social Security Policies
949582_EU-H2020_Part_003
[        332 260.00  SEK]",SE,14997730,participant,2021,2026
101007633_EU-H2020_Part_018,,Advanced Methodologies for Next Generation Large Scale CMB Polarization Analysis,230000,2021-10-01,2026-08-31,Stockholm University,European Commission - Horizon 2020,"Advanced Methodologies for Next Generation Large Scale CMB Polarization Analysis
101007633_EU-H2020_Part_018","Advanced Methodologies for Next Generation Large Scale CMB Polarization Analysis
101007633_EU-H2020_Part_018
Funding:        230 000.00  SEK
2021-10-01  -  2026-08-31
Total cash funding:    11 408 000 SEK
In-kind:    11 408 000 SEK","Advanced Methodologies for Next Generation Large Scale CMB Polarization Analysis
101007633_EU-H2020_Part_018
[        230 000.00  SEK]",SE,12558000,participant,2021,2026
101022487_EU-H2020_Part_020,,"Providing access to cost-efficient, replicable, safe and flexible CCUS",3254880,2021-05-01,2026-08-31,STORA ENSO AB,European Commission - Horizon 2020,"Providing access to cost-efficient, replicable, safe and flexible CCUS
101022487_EU-H2020_Part_020","Providing access to cost-efficient, replicable, safe and flexible CCUS
101022487_EU-H2020_Part_020
Funding:      3 254 880.00  SEK
2021-05-01  -  2026-08-31
Total cash funding:   149 838 740 SEK
In-kind:   149 838 740 SEK","Providing access to cost-efficient, replicable, safe and flexible CCUS
101022487_EU-H2020_Part_020
[      3 254 880.00  SEK]",SE,192124367.5,participant,2021,2026
101022487_EU-H2020_Part_019,,"Providing access to cost-efficient, replicable, safe and flexible CCUS",5024690,2021-05-01,2026-08-31,Stora Enso Pulp Aktiebolag,European Commission - Horizon 2020,"Providing access to cost-efficient, replicable, safe and flexible CCUS
101022487_EU-H2020_Part_019","Providing access to cost-efficient, replicable, safe and flexible CCUS
101022487_EU-H2020_Part_019
Funding:      5 024 690.00  SEK
2021-05-01  -  2026-08-31
Total cash funding:   149 838 740 SEK
In-kind:   149 838 740 SEK","Providing access to cost-efficient, replicable, safe and flexible CCUS
101022487_EU-H2020_Part_019
[      5 024 690.00  SEK]",SE,192124367.5,participant,2021,2026
101034344_EU-H2020_Part_027,,European platform for neurodegenerative disorders,0,2021-11-01,2026-10-31,SVAR LIFE SCIENCE AB,European Commission - Horizon 2020,"European platform for neurodegenerative disorders
101034344_EU-H2020_Part_027","European platform for neurodegenerative disorders
101034344_EU-H2020_Part_027
Funding:              0.00  SEK
2021-11-01  -  2026-10-31
Total cash funding:    96 800 000 SEK
In-kind:    96 800 000 SEK","European platform for neurodegenerative disorders
101034344_EU-H2020_Part_027
[              0.00  SEK]",SE,190055011.4,participant,2021,2026
864287_EU-H2020_Coor_001,,Thresholds and tipping points in ecosystem responses to global warming,21676350,2021-01-01,2026-07-31,Swedish University of Agricultural Sciences,European Commission - Horizon 2020,"Thresholds and tipping points in ecosystem responses to global warming
864287_EU-H2020_Coor_001","Thresholds and tipping points in ecosystem responses to global warming
864287_EU-H2020_Coor_001
Funding:     21 676 350.00  SEK
2021-01-01  -  2026-07-31
Total cash funding:    21 676 350 SEK
In-kind:    21 676 350 SEK","Thresholds and tipping points in ecosystem responses to global warming
864287_EU-H2020_Coor_001
[     21 676 350.00  SEK]",SE,21676350,coordinating,2021,2026
949223_EU-H2020_Coor_001,,A sustainable future for honeybees by unravelling the mechanisms of natural disease resistance,14997030,2021-03-01,2026-02-28,Swedish University of Agricultural Sciences,European Commission - Horizon 2020,"A sustainable future for honeybees by unravelling the mechanisms of natural disease resistance
949223_EU-H2020_Coor_001","A sustainable future for honeybees by unravelling the mechanisms of natural disease resistance
949223_EU-H2020_Coor_001
Funding:     14 997 030.00  SEK
2021-03-01  -  2026-02-28
Total cash funding:    14 997 030 SEK
In-kind:    14 997 030 SEK","A sustainable future for honeybees by unravelling the mechanisms of natural disease resistance
949223_EU-H2020_Coor_001
[     14 997 030.00  SEK]",SE,14997030,coordinating,2021,2026
101000395_EU-H2020_Coor_024,,Pathways for transitions to sustainability in livestock husbandry and food systems,12353925,2021-09-01,2026-08-31,Swedish University of Agricultural Sciences,European Commission - Horizon 2020,"Pathways for transitions to sustainability in livestock husbandry and food systems
101000395_EU-H2020_Coor_024","Pathways for transitions to sustainability in livestock husbandry and food systems
101000395_EU-H2020_Coor_024
Funding:     12 353 925.00  SEK
2021-09-01  -  2026-08-31
Total cash funding:    89 989 063 SEK
In-kind:    89 989 063 SEK","Pathways for transitions to sustainability in livestock husbandry and food systems
101000395_EU-H2020_Coor_024
[     12 353 925.00  SEK]",SE,90269074.9,coordinating,2021,2026
948138_EU-H2020_Coor_001,,"Deciphering the network of microbial, environmental and physical factors underlying aggregation and enhanced performance in syntrophic microorganism communities",9926220,2021-03-01,2026-02-28,Swedish University of Agricultural Sciences,European Commission - Horizon 2020,"Deciphering the network of microbial, environmental and physical factors underlying aggregation and enhanced performance in syntrophic microorganism communities
948138_EU-H2020_Coor_001","Deciphering the network of microbial, environmental and physical factors underlying aggregation and enhanced performance in syntrophic microorganism communities
948138_EU-H2020_Coor_001
Funding:      9 926 220.00  SEK
2021-03-01  -  2026-02-28
Total cash funding:     9 926 220 SEK
In-kind:     9 926 220 SEK","Deciphering the network of microbial, environmental and physical factors underlying aggregation and enhanced performance in syntrophic microorganism communities
948138_EU-H2020_Coor_001
[      9 926 220.00  SEK]",SE,9926220,coordinating,2021,2026
101004770_EU-H2020_Part_008,,An infrastructure for experimental research for sustainable pig production,3202087.5,2021-03-01,2026-02-28,Swedish University of Agricultural Sciences,European Commission - Horizon 2020,"An infrastructure for experimental research for sustainable pig production
101004770_EU-H2020_Part_008","An infrastructure for experimental research for sustainable pig production
101004770_EU-H2020_Part_008
Funding:      3 202 087.50  SEK
2021-03-01  -  2026-02-28
Total cash funding:    49 999 926 SEK
In-kind:    49 999 926 SEK","An infrastructure for experimental research for sustainable pig production
101004770_EU-H2020_Part_008
[      3 202 087.50  SEK]",SE,57337872.1,participant,2021,2026
101003476_EU-H2020_Part_014,,Safeguarding European wild pollinators,3114000,2021-09-01,2026-02-28,Swedish University of Agricultural Sciences,European Commission - Horizon 2020,"Safeguarding European wild pollinators
101003476_EU-H2020_Part_014","Safeguarding European wild pollinators
101003476_EU-H2020_Part_014
Funding:      3 114 000.00  SEK
2021-09-01  -  2026-02-28
Total cash funding:    53 504 038 SEK
In-kind:    53 504 038 SEK","Safeguarding European wild pollinators
101003476_EU-H2020_Part_014
[      3 114 000.00  SEK]",SE,78504037.5,participant,2021,2026
101003765_EU-H2020_Part_003,,INNOVATIVE AND ENHANCED NATURE-BASED SOLUTIONS FOR SUSTAINABLE URBAN WATER CYCLE,3014150,2021-06-01,2026-05-31,Swedish University of Agricultural Sciences,European Commission - Horizon 2020,"INNOVATIVE AND ENHANCED NATURE-BASED SOLUTIONS FOR SUSTAINABLE URBAN WATER CYCLE
101003765_EU-H2020_Part_003","INNOVATIVE AND ENHANCED NATURE-BASED SOLUTIONS FOR SUSTAINABLE URBAN WATER CYCLE
101003765_EU-H2020_Part_003
Funding:      3 014 150.00  SEK
2021-06-01  -  2026-05-31
Total cash funding:    49 963 420 SEK
In-kind:    49 963 420 SEK","INNOVATIVE AND ENHANCED NATURE-BASED SOLUTIONS FOR SUSTAINABLE URBAN WATER CYCLE
101003765_EU-H2020_Part_003
[      3 014 150.00  SEK]",SE,49963420,participant,2021,2026
